order_id,customer_id,order_date,city,gender,acquisition_channel,device,payment_method,shipping_method,shipping_fee,tax_rate,order_status,product_id,product_category,product_brand,unit_price,quantity,discount_amount,coupon_code,line_subtotal,line_net,order_items,order_gross,order_discount,order_net_before_tax_ship,order_tax,order_total
O0000743,C01009,2024-04-07,Ismailia,Male,Paid Search,Web,Card,Pickup,0,0.113,Returned,P00047,Books,Brand_BOO_2,441.39,3,0.0,,1324.17,1324.17,4,5020.18,0.0,5020.18,567.28,5587.46
O0000859,C00804,2024-04-21,Aswan,Female,Organic,Android,Wallet,Standard,25,0.145,Delivered,P00126,Toys,Brand_FAS_1,1196.77,1,0.0,,1196.77,1196.77,4,6211.85,0.0,6211.85,900.72,7137.57
O0001106,C00097,2024-05-21,Port Said,Female,Paid Search,Web,Cash,Express,55,0.123,Delivered,P00066,Fashion,Brand_PET_1,636.07,3,0.0,,1908.21,1908.21,5,7398.28,0.0,7398.28,909.99,8363.27
O0002386,C00392,2024-11-02,Port Said,Male,Email,iOS,Card,Standard,25,0.158,Delivered,P00023,Beauty,Brand_HOM_1,364.31,2,90.23,WELCOME10,728.62,638.39,5,7051.71,1655.63,5396.08,852.58,6273.66
O0002397,C00207,2024-11-04,Ismailia,Female,Organic,Android,Cash,Express,55,0.103,Delivered,P00126,Toys,Brand_FAS_1,1196.77,3,0.0,,3590.31,3590.31,3,5255.01,0.0,5255.01,541.27,5851.28
O0005366,C00825,2025-12-05,Port Said,Female,Marketplace,Android,Card,Express,55,0.139,Delivered,P00172,Home,Brand_BEA_1,200.44,1,0.0,,200.44,200.44,4,2940.01,0.0,2940.01,408.66,3403.67
O0001854,C00571,2024-08-25,Giza,Female,Organic,Android,Card,Standard,25,0.12,Delivered,P00220,Garden,Brand_SPO_3,952.42,3,0.0,,2857.26,2857.26,5,8768.87,0.0,8768.87,1052.26,9846.13
O0003408,C01116,2025-03-12,Mansoura,Female,Email,Android,Card,Standard,25,0.119,Delivered,P00027,Sports,Brand_OFF_1,912.6,3,0.0,,2737.8,2737.8,5,11826.11,739.98,11086.13,1319.25,12430.38
O0005125,C00715,2025-11-02,Cairo,Female,Email,iOS,Wallet,Standard,25,0.116,Delivered,P00132,Toys,Brand_ELE_2,273.51,2,0.0,,547.02,547.02,2,1896.26,0.0,1896.26,219.97,2141.23
O0002753,C00266,2024-12-20,Cairo,Male,Organic,Android,Wallet,Standard,25,0.1,Canceled,P00177,Automotive,Brand_ELE_2,1241.59,2,0.0,,2483.18,2483.18,4,7264.8,0.0,7264.8,726.48,8016.28
O0001384,C00753,2024-06-26,Aswan,Male,Marketplace,Tablet,Wallet,Standard,25,0.122,Delivered,P00174,Automotive,Brand_GRO_1,1035.42,2,0.0,,2070.84,2070.84,2,3170.77,0.0,3170.77,386.83,3582.6
O0004814,C01130,2025-09-21,Luxor,Male,Organic,iOS,Cash,Standard,25,0.105,Delivered,P00052,Beauty,Brand_ELE_1,,1,0.0,,278.47,278.47,4,7078.79,0.0,7078.79,743.27,7847.06
O0000649,C00964,2024-03-25,Aswan,Male,Social,Android,Cash,Standard,25,0.159,Delivered,P00102,Beauty,Brand_HOM_1,731.75,2,0.0,,1463.5,1463.5,3,9428.98,0.0,9428.98,1499.21,10953.19
O0005539,C00176,2025-12-30,Alexandria,Female,Paid Search,iOS,Card,Standard,25,0.121,Delivered,P00138,Electronics,Brand_GAR_3,1202.88,1,109.71,RAMADAN15,1202.88,1093.17,5,7321.37,783.91,6537.46,791.03,7353.49
O0004212,C00349,2025-07-03,Suez,Male,Organic,Web,Wallet,Standard,25,0.157,Delivered,P00216,Fashion,Brand_HOM_2,318.64,1,0.0,,318.64,318.64,4,3816.17,0.0,3816.17,599.14,4440.31
O0001314,C00710,2024-06-16,Suez,Male,Referral,Android,Cash,Standard,25,0.143,Delivered,P00141,Pet,Brand_GAR_1,1398.23,3,173.78,RAMADAN15,4194.69,4020.91,5,13142.33,1394.18,11748.15,1679.99,13453.14
O0000160,C00919,2024-01-24,Mansoura,Female,Social,Web,Bank Transfer,Standard,25,0.11,Delivered,P00043,Automotive,Brand_FAS_2,479.3,2,0.0,,958.6,958.6,2,1057.61,0.0,1057.61,116.34,1198.95
O0005331,C01060,2025-11-29,Zagazig,Male,Organic,iOS,Card,Standard,25,0.113,Delivered,P00171,Home,Brand_AUT_3,962.87,2,0.0,,1925.74,1925.74,4,7950.37,0.0,7950.37,898.39,8873.76
O0004369,C01112,2025-07-24,Aswan,Female,Organic,iOS,Cash,Express,55,0.131,Delivered,P00031,Books,Brand_BEA_1,984.86,2,0.0,,1969.72,1969.72,2,2356.52,0.0,2356.52,308.7,2720.22
O0000453,C00408,2024-02-29,Luxor,Male,Paid Search,iOS,Cash,Express,55,0.108,Delivered,P00210,Office,Brand_AUT_2,1205.43,2,386.69,WELCOME10,2410.86,2024.17,3,6332.84,1077.14,5255.7,567.62,5878.32
O0001583,C00829,2024-07-21,Giza,Other,Organic,Web,Cash,Standard,25,0.108,Delivered,P00215,Automotive,Brand_BOO_1,79.42,2,30.14,,158.84,128.7,5,2968.74,30.14,2938.6,317.37,3280.97
O0000800,C00340,2024-04-14,Port Said,Male,Marketplace,Android,Cash,Standard,25,0.145,Delivered,P00220,Garden,Brand_SPO_3,952.42,3,0.0,,2857.26,2857.26,5,12456.17,0.0,12456.17,1806.14,14287.31
O0000167,C00715,2024-01-24,Port Said,Female,Organic,iOS,Card,Express,55,0.141,Delivered,P00138,Electronics,Brand_GAR_3,1202.88,1,0.0,,1202.88,1202.88,2,3953.19,0.0,3953.19,557.4,4565.59
O0002942,C00145,2025-01-11,Zagazig,Male,Organic,Android,Wallet,Standard,25,0.103,Delivered,P00073,Books,Brand_PET_2,1388.77,1,0.0,,1388.77,1388.77,2,3957.16,0.0,3957.16,407.59,4389.75
O0003840,C00983,2025-05-08,Giza,Female,Social,Web,Card,Standard,25,0.158,Canceled,P00205,Books,Brand_BOO_1,916.77,2,410.37,,1833.54,1423.17,5,11423.35,410.37,11012.98,1740.05,12778.03
O0002828,C00151,2024-12-29,Suez,Male,Paid Search,iOS,Wallet,Standard,25,0.157,Canceled,P00058,Home,Brand_OFF_2,766.7,3,0.0,,2300.1,2300.1,3,4726.82,0.0,4726.82,742.11,5493.93
O0003730,C00015,2025-04-24,Luxor,Male,Paid Search,Android,Cash,Standard,25,0.135,Delivered,P00194,Sports,Brand_HOM_2,1347.61,1,0.0,,1347.61,1347.61,4,6368.74,0.0,6368.74,859.78,7253.52
O0002525,C00917,2024-11-20,Zagazig,Male,Paid Search,iOS,Card,Standard,25,0.132,Delivered,P00021,Toys,Brand_HOM_3,1247.55,3,0.0,,3742.65,3742.65,3,6115.2,0.0,6115.2,807.21,6947.41
O0000177,C00455,2024-01-26,Cairo,Male,Marketplace,Android,Cash,Standard,25,0.11,Canceled,P00185,Books,Brand_BOO_3,1495.61,2,0.0,,2991.22,2991.22,3,6892.56,0.0,6892.56,758.18,7675.74
O0002337,C00862,2024-10-26,Tanta,Male,Social,Android,Wallet,Express,55,0.128,Delivered,P00113,Toys,Brand_FAS_3,1048.3,2,343.59,WELCOME10,2096.6,1753.01,3,5367.17,714.01,4653.16,595.6,5303.76
O0001146,C01116,2024-05-27,Cairo,Female,Organic,iOS,Cash,Standard,25,0.155,Delivered,P00192,Grocery,Brand_BEA_3,982.19,3,0.0,,2946.57,2946.57,3,4920.04,0.0,4920.04,762.61,5707.65
O0001014,C00252,2024-05-10,Aswan,Male,Paid Search,iOS,Card,Standard,25,0.105,Delivered,P00042,Office,Brand_BEA_1,1240.5,1,0.0,,1240.5,1240.5,1,1240.5,0.0,1240.5,130.25,1395.75
O0004830,C00053,2025-09-22,Ismailia,Female,Paid Search,Android,Card,Standard,25,0.127,Delivered,P00154,Fashion,Brand_SPO_2,485.37,3,0.0,,1456.11,1456.11,1,1456.11,0.0,1456.11,184.93,1666.04
O0003177,C00877,2025-02-13,Mansoura,Female,Organic,iOS,Wallet,Standard,25,0.1,Delivered,P00218,Home,Brand_PET_1,766.71,1,51.67,RAMADAN15,766.71,715.04,3,3467.12,172.77,3294.35,329.44,3648.79
O0003120,C00739,2025-02-05,Zagazig,Male,Referral,Android,Card,Express,55,0.155,Returned,P00077,Fashion,Brand_GAR_1,1469.76,1,0.0,,1469.76,1469.76,4,4190.58,0.0,4190.58,649.54,4895.12
O0003528,C00552,2025-03-26,Ismailia,Male,Social,Web,Card,Standard,25,0.117,Delivered,P00012,Pet,Brand_GAR_1,640.29,3,0.0,,1920.87,1920.87,4,7281.59,0.0,7281.59,851.95,8158.54
O0005413,C00477,2025-12-13,Suez,Female,Referral,Android,Cash,Standard,25,0.132,Delivered,P00004,Books,Brand_BEA_2,1434.32,1,0.0,,1434.32,1434.32,5,9387.27,0.0,9387.27,1239.12,10651.39
O0003039,C00807,2025-01-26,Mansoura,Other,Referral,Web,Wallet,Standard,25,0.121,Processing,P00066,Fashion,Brand_PET_1,636.07,3,0.0,,1908.21,1908.21,5,6297.07,0.0,6297.07,761.95,7084.02
O0005363,C00601,2025-12-04,Alexandria,Male,Marketplace,Android,Card,Express,55,0.156,Delivered,P00141,Pet,Brand_GAR_1,1398.23,3,0.0,,4194.69,4194.69,5,8770.81,0.0,8770.81,1368.25,10194.06
O0003887,C01144,2025-05-15,Port Said,Female,Marketplace,Android,Cash,Standard,25,0.11,Returned,P00026,Grocery,Brand_HOM_1,1304.25,3,447.91,VIP20,3912.75,3464.84,2,6008.7,1029.22,4979.48,547.74,5552.22
O0001624,C00180,2024-07-26,Suez,Male,Social,Web,Card,Pickup,0,0.11,Delivered,P00157,Home,Brand_AUT_3,1405.47,3,0.0,,4216.41,4216.41,5,10407.18,0.0,10407.18,1144.79,11551.97
O0002623,C00299,2024-12-03,Luxor,Female,Email,Android,Wallet,Pickup,0,0.103,Delivered,P00066,Fashion,Brand_PET_1,636.07,1,0.0,,636.07,636.07,4,4745.26,0.0,4745.26,488.76,5234.02
O0003688,C00455,2025-04-18,Suez,Female,Organic,iOS,Bank Transfer,Pickup,0,0.121,Delivered,P00116,Toys,Brand_OFF_3,929.28,3,0.0,,2787.84,2787.84,5,7314.76,0.0,7314.76,885.09,8199.85
O0004297,C00690,2025-07-14,Ismailia,Female,Social,iOS,Card,Pickup,0,0.111,Delivered,P00120,Home,Brand_PET_2,1405.19,2,341.26,WELCOME10,2810.38,2469.12,3,5093.15,652.96,4440.19,492.86,4933.05
O0005865,C00375,2026-02-11,Giza,Male,Social,Android,Card,Standard,25,0.11,Processing,P00132,Toys,Brand_ELE_2,273.51,3,0.0,,820.53,820.53,2,1855.43,0.0,1855.43,204.1,2084.53
O0000229,C00337,2024-02-01,Luxor,Female,Organic,Android,Cash,Standard,25,0.104,Delivered,P00023,Beauty,Brand_HOM_1,364.31,1,114.31,RAMADAN15,364.31,250.0,5,3077.22,486.74,2590.48,269.41,2884.89
O0003898,C00547,2025-05-17,Tanta,Female,Marketplace,Web,Card,Standard,25,0.149,Delivered,P00086,Automotive,Brand_HOM_3,704.94,2,0.0,,1409.88,1409.88,5,6642.57,0.0,6642.57,989.74,7657.31
O0005857,C00461,2026-02-10,Zagazig,Male,Paid Search,iOS,Card,Express,55,0.129,Delivered,P00134,Toys,Brand_BOO_1,867.2,1,0.0,,867.2,867.2,5,6404.04,0.0,6404.04,826.12,7285.16
O0002690,C01161,2024-12-12,Tanta,Female,Social,Android,Cash,Standard,25,0.132,Delivered,P00024,Pet,Brand_GRO_3,805.54,2,0.0,FREESHIP,1611.08,1611.08,2,5099.24,0.0,5099.24,673.1,5797.34
O0001720,C00826,2024-08-09,Aswan,Male,Social,Android,Wallet,Pickup,0,0.154,Delivered,P00152,Fashion,Brand_GRO_3,420.39,2,0.0,,840.78,840.78,2,1707.98,0.0,1707.98,263.03,1971.01
O0005498,C00748,2025-12-25,Luxor,Male,Marketplace,iOS,Cash,Standard,25,0.142,Delivered,P00023,Beauty,Brand_HOM_1,364.31,1,0.0,,364.31,364.31,5,6273.5,0.0,6273.5,890.84,7189.34
O0002247,C01052,2024-10-13,Cairo,Male,Organic,Tablet,Card,Standard,25,0.13,Delivered,P00047,Books,Brand_BOO_2,441.39,3,119.36,RAMADAN15,1324.17,1204.81,4,6774.21,1061.79,5712.42,742.61,6480.03
O0000103,C01192,2024-01-15,Aswan,Male,Organic,Android,Cash,Standard,25,0.107,Canceled,P00010,Home,Brand_BEA_1,176.73,3,0.0,,530.19,530.19,5,6260.92,36.73,6224.19,665.99,6915.18
O0004149,C00429,2025-06-22,Ismailia,Female,Organic,iOS,Card,Pickup,0,0.132,Delivered,P00018,Home,Brand_BOO_1,1181.45,1,0.0,,1181.45,1181.45,3,1768.1,0.0,1768.1,233.39,2001.49
O0002519,C01067,2024-11-19,Alexandria,Female,Email,iOS,Card,Standard,25,0.16,Returned,P00131,Toys,Brand_TOY_2,931.93,1,0.0,,931.93,931.93,1,931.93,0.0,931.93,149.11,1106.04
O0000320,C00526,2024-02-13,Tanta,Male,Organic,Web,Wallet,Pickup,0,0.125,Delivered,P00120,Home,Brand_PET_2,1405.19,1,239.26,RAMADAN15,1405.19,1165.93,5,7220.55,905.69,6314.86,789.36,7104.22
O0003381,C00217,2025-03-08,Zagazig,Male,Organic,Web,Wallet,Standard,25,0.159,Delivered,P00024,Pet,Brand_GRO_3,805.54,2,0.0,,1611.08,1611.08,4,4771.74,0.0,4771.74,758.71,5555.45
O0004980,C00056,2025-10-14,Mansoura,Male,Marketplace,Android,Wallet,Standard,25,0.127,Delivered,P00058,Home,Brand_OFF_2,766.7,1,0.0,,766.7,766.7,2,1358.33,0.0,1358.33,172.51,1555.84
O0002143,C00934,2024-09-28,Aswan,Male,Paid Search,Android,Wallet,Standard,25,0.111,Delivered,P00209,Fashion,Brand_ELE_1,104.7,2,22.76,,209.4,186.64,4,7278.84,22.76,7256.08,805.42,8086.5
O0005417,C00881,2025-12-13,Cairo,Female,Organic,Android,Wallet,Standard,25,0.1,Delivered,P00023,Beauty,Brand_HOM_1,364.31,1,0.0,,364.31,364.31,3,1298.48,0.0,1298.48,129.85,1453.33
O0003615,C00501,2025-04-08,Luxor,Male,Organic,Android,Cash,Standard,25,0.135,Delivered,P00003,Grocery,Brand_AUT_2,1001.04,2,0.0,,2002.08,2002.08,5,8718.99,0.0,8718.99,1177.06,9921.05
O0002410,C00328,2024-11-05,Aswan,Male,Social,Android,Card,Pickup,0,0.159,Canceled,P00102,Beauty,Brand_HOM_1,731.75,3,73.5,RAMADAN15,2195.25,2121.75,5,5892.32,489.83,5402.49,859.0,6261.49
O0005989,C00625,2026-02-26,Zagazig,Male,Marketplace,Web,Cash,Standard,25,0.141,Delivered,P00027,Sports,Brand_OFF_1,912.6,1,0.0,,912.6,912.6,3,4571.89,0.0,4571.89,644.64,5241.53
O0003503,C00250,2025-03-23,Zagazig,Female,Organic,Android,Card,Standard,25,0.133,Delivered,P00086,Automotive,Brand_HOM_3,704.94,1,119.07,RAMADAN15,704.94,585.87,5,5420.82,830.14,4590.68,610.56,5226.24
O0003966,C00943,2025-05-27,Aswan,Female,Email,Android,Card,Standard,25,0.136,Delivered,P00182,Home,Brand_OFF_1,1379.29,1,0.0,,1379.29,1379.29,2,3389.71,0.0,3389.71,461.0,3875.71
O0000819,C00088,2024-04-16,Tanta,Male,Email,Android,Card,Express,55,0.126,Delivered,P00170,Electronics,Brand_HOM_3,1278.79,3,0.0,,3836.37,3836.37,2,4321.74,0.0,4321.74,544.54,4921.28
O0003845,C01018,2025-05-09,Suez,,Organic,Android,Wallet,Standard,25,0.156,Processing,P00168,Beauty,Brand_OFF_3,1427.77,2,0.0,,2855.54,2855.54,4,6670.57,0.0,6670.57,1040.61,7736.18
O0000506,C00111,2024-03-09,Port Said,Male,Organic,Web,Wallet,Pickup,0,0.12,Delivered,P00056,Electronics,Brand_BOO_3,602.57,2,0.0,,1205.14,1205.14,5,8650.67,0.0,8650.67,1038.08,9688.75
O0002165,C01151,2024-10-01,Cairo,Male,Organic,iOS,Card,Standard,25,0.15,Processing,P00204,Automotive,Brand_TOY_3,96.45,3,0.0,FREESHIP,289.35,289.35,5,2906.48,0.0,2906.48,435.97,3367.45
O0005778,C00484,2026-01-29,Cairo,Female,Email,Web,Cash,Express,55,0.105,Delivered,P00021,Toys,Brand_HOM_3,1247.55,1,42.58,VIP20,1247.55,1204.97,3,3162.55,403.53,2759.02,289.7,3103.72
O0003527,C00358,2025-03-26,Aswan,Female,Referral,Android,Card,Standard,25,0.145,Delivered,P00189,Beauty,Brand_PET_1,177.5,3,0.0,,532.5,532.5,2,998.36,0.0,998.36,144.76,1168.12
O0004815,C01051,2025-09-21,Alexandria,Female,Organic,Web,Cash,Pickup,0,0.121,Delivered,P00060,Automotive,Brand_ELE_3,1279.67,3,0.0,,3839.01,3839.01,4,10544.95,0.0,10544.95,1275.94,11820.89
O0003089,C00294,2025-02-01,Ismailia,Female,Social,Android,Wallet,Standard,25,0.122,Delivered,P00189,Beauty,Brand_PET_1,177.5,2,0.0,,355.0,355.0,5,1989.65,0.0,1989.65,242.74,2257.39
O0004899,C01153,2025-10-02,Suez,Male,Social,iOS,Wallet,Express,55,0.136,Delivered,P00129,Toys,Brand_BEA_1,893.31,2,91.59,RAMADAN15,1786.62,1695.03,2,1968.15,113.47,1854.68,252.24,2161.92
